SEXO	EDAD	HORARIO	JORNADA	TiempoLAB	TiempoCUIDADO	DIASEMANA
M	35_59	0	SinOcup	0	0	6
F	35_59	1	DescansoNOTRAB	0	0	7
M	M60	0	SinOcup	0	0	5
F	35_59	3	Normal	19200	5100	1
F	35_59	4	Normal	23400	0	2
M	M60	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	1500	5
F	35_59	1	DescansoNOTRAB	0	0	6
F	35_59	3	Normal	25200	0	2
M	M60	0	SinOcup	0	0	1
F	M60	0	SinOcup	0	0	3
M	35_59	1	DescansoNOTRAB	0	1800	7
M	35_59	3	Normal	34200	0	5
M	M60	0	SinOcup	0	0	6
F	16_34	3	Normal	28500	0	5
F	M60	0	SinOcup	0	0	7
M	16_34	3	Normal	27000	5700	6
F	M60	0	SinOcup	0	0	5
F	35_59	3	DescansoNOTRAB	10800	0	7
M	M60	0	SinOcup	0	0	7
F	M15	0	SinOcup	9000	0	7
M	M60	0	SinOcup	0	0	1
F	35_59	3	Normal	29700	3600	3
F	35_59	1	Festivo	0	0	6
M	M60	0	SinOcup	0	0	6
M	16_34	1	DescansoNOTRAB	0	0	7
F	M60	0	SinOcup	0	0	7
M	35_59	3	Normal	34500	8700	5
F	16_34	4	Normal	16200	0	5
F	35_59	0	SinOcup	0	7800	3
F	16_34	0	SinOcup	25200	0	5
M	M60	0	SinOcup	0	0	7
M	35_59	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	6
F	35_59	1	DescansoNOTRAB	0	0	6
M	35_59	3	DescansoSITRAB	21600	0	6
M	35_59	1	DescansoNOTRAB	0	0	6
F	M60	0	SinOcup	0	0	7
M	35_59	3	Normal	28800	0	1
M	M60	0	SinOcup	0	0	2
M	16_34	3	Normal	33900	0	4
F	35_59	1	DescansoNOTRAB	0	7200	7
M	M60	0	SinOcup	0	0	6
F	35_59	1	DescansoNOTRAB	0	0	6
M	16_34	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	0	5
F	16_34	1	Festivo	0	0	6
M	M60	0	SinOcup	0	0	2
F	35_59	0	SinOcup	0	16500	3
F	16_34	3	Normal	31500	0	5
M	M60	0	SinOcup	3600	0	5
M	16_34	0	SinOcup	16200	5400	5
M	35_59	1	Festivo	0	0	6
F	35_59	1	DescansoNOTRAB	0	0	7
M	M15	0	SinOcup	0	0	6
M	35_59	0	SinOcup	18000	0	5
M	35_59	3	Normal	37800	0	2
F	M60	3	Normal	23400	0	6
M	16_34	1	DescansoNOTRAB	0	0	7
M	35_59	4	Normal	28800	0	5
M	35_59	1	DescansoNOTRAB	0	0	7
M	35_59	1	Festivo	0	0	6
M	35_59	1	Normal	36900	0	1
F	16_34	1	Festivo	0	0	5
M	16_34	0	SinOcup	0	6000	7
F	35_59	3	Normal	21600	0	5
F	35_59	3	Normal	23400	2700	4
M	M60	0	SinOcup	0	0	6
F	M60	1	DescansoNOTRAB	0	0	6
M	35_59	3	Normal	35400	0	2
F	35_59	3	Normal	12600	0	6
M	35_59	3	Normal	25200	3600	2
F	M60	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	0	5
M	35_59	1	DescansoNOTRAB	0	10500	6
F	16_34	3	Normal	33300	3600	3
F	35_59	4	Normal	32700	0	6
M	M60	0	SinOcup	0	3600	7
F	35_59	0	SinOcup	0	0	5
F	35_59	3	DescansoNOTRAB	0	15300	7
M	M60	0	SinOcup	0	0	6
M	35_59	0	SinOcup	0	9000	5
M	16_34	3	Normal	34200	0	2
F	M60	0	SinOcup	0	0	5
F	35_59	0	SinOcup	0	12900	7
M	35_59	3	Normal	29400	2400	5
F	35_59	0	SinOcup	0	13800	5
M	16_34	0	SinOcup	14400	0	7
M	35_59	3	Normal	27900	0	5
M	35_59	0	SinOcup	28800	0	6
F	35_59	3	Normal	29100	0	1
